has_mcq,reading_time_avg,grade_level_sum,story_type,freadom_point,reading_count,view_count,like_count,is_published,mcq,landscape,experience_count,view_count-level_1:easy,view_count-level_1:hard,view_count-level_2:easy,view_count-level_2:hard,view_count-level_3:easy,view_count-level_3:hard,view_count-level_4:easy,view_count-level_4:hard,view_count-level_5:easy,view_count-level_5:hard,view_count-level_6:easy,view_count-level_6:hard,view_count-level_7:easy,view_count-level_7:hard,view_count-level_8:hard,view_count-level_9:easy,view_count-level_9:hard,completed_count-level_8:easy,completed_count-level_1:easy,completed_count-level_1:hard,completed_count-level_2:easy,completed_count-level_2:hard,completed_count-level_3:easy,completed_count-level_3:hard,completed_count-level_4:easy,completed_count-level_4:hard,completed_count-level_5:easy,completed_count-level_5:hard,completed_count-level_6:easy,completed_count-level_6:hard,completed_count-level_7:easy,completed_count-level_7:hard,completed_count-level_8:hard,completed_count-level_9:easy,completed_count-level_9:hard,reading_time_avg,grade_level_sum,story_id_code
True,12.5,11.5,read,0,3198,4959,404,True,True,False,161,0,0,0,0,1,64,3,81,144,481,1183,945,1346,733,0.0,0.0,0.0,0.0,0,0,0,0,0,47,1,58,70,359,615,745,709,558,0.0,0.0,0.0,12.5,11.5,759
True,12.5,10.5,read,0,1654,2507,230,True,True,False,98,0,0,0,0,0,13,0,37,0,379,568,695,396,445,0.0,0.0,0.0,0.0,0,0,0,0,0,9,0,29,0,275,264,523,188,347,0.0,0.0,0.0,12.5,10.5,949
True,7.5,11.5,read,0,2050,2845,277,True,True,False,90,0,1,0,0,1,0,0,221,218,525,488,728,368,320,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,158,112,417,267,601,195,275,0.0,0.0,0.0,7.5,11.5,1045
True,12.5,11.5,read,0,1910,2835,273,True,True,False,110,1,1,0,0,0,0,3,5,138,235,563,789,570,544,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2,3,72,161,297,611,297,453,0.0,0.0,0.0,12.5,11.5,1054
True,12.5,8.5,read,0,2294,3388,293,True,True,False,97,0,42,0,71,0,196,148,460,192,579,471,592,302,383,0.0,0.0,0.0,0.0,0,28,0,64,0,150,50,326,83,416,226,476,147,310,0.0,0.0,0.0,12.5,8.5,199
True,12.5,10.5,read,0,1399,1883,189,False,True,False,83,0,1,0,0,0,0,1,2,161,312,318,580,185,302,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,2,90,242,203,482,109,260,0.0,0.0,0.0,12.5,10.5,157
True,,6.5,listen,0,1714,2751,310,True,True,False,59,69,79,256,343,282,479,568,632,11,29,5,6,0,3,0.0,0.0,0.0,0.0,26,50,131,259,156,384,222,429,8,23,3,3,0,2,0.0,0.0,0.0,,6.5,1882
True,3.5,7.5,listen,0,8625,13608,1435,True,True,False,263,1,23,5,116,172,594,2540,1976,3570,2361,990,957,160,146,0.0,1.0,0.0,0.0,0,14,2,77,86,414,1274,1342,2034,1665,675,732,110,119,0.0,1.0,0.0,3.5,7.5,916
True,7.5,11.0,listen,0,5430,9178,1046,True,True,False,190,0,2,0,2,1,0,6,100,156,1301,2336,1634,2475,1212,0.0,0.0,0.0,0.0,0,1,0,1,1,0,4,55,87,823,1217,1140,1218,826,0.0,0.0,0.0,7.5,11.0,1157
True,7.5,7.5,read,0,3948,5589,404,True,True,False,177,1,2,2,71,69,371,829,1014,1057,1127,348,579,43,90,0.0,0.0,0.0,0.0,1,1,1,62,31,306,386,744,607,896,262,506,25,76,0.0,0.0,0.0,7.5,7.5,427
True,12.5,5.5,read,0,1269,1734,157,True,True,False,63,0,2,0,112,118,328,241,512,82,210,48,57,0,3,0.0,0.0,0.0,0.0,0,1,0,96,60,258,119,395,49,193,27,44,0,2,0.0,0.0,0.0,12.5,5.5,297
True,7.5,4.5,listen,0,2823,4414,482,True,True,False,101,1,2,221,313,313,660,731,998,241,492,155,165,46,60,0.0,0.0,0.0,0.0,1,2,61,200,148,480,369,696,151,373,95,129,30,48,0.0,0.0,0.0,7.5,4.5,1114
True,12.5,9.5,read,0,1837,2320,235,True,True,False,108,0,0,0,1,0,0,1,152,275,507,461,653,42,237,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,132,152,404,297,573,36,223,0.0,0.0,0.0,12.5,9.5,632
True,12.5,5.5,read,0,842,1282,100,True,True,False,50,1,0,0,86,142,282,228,397,12,113,6,11,1,1,0.0,0.0,0.0,0.0,1,0,0,75,57,217,76,281,8,100,3,9,0,0,0.0,0.0,0.0,12.5,5.5,1084
True,3.5,4.5,listen,0,1835,2866,325,True,True,False,63,1,6,328,309,276,458,437,687,79,271,7,13,0,0,0.0,0.0,0.0,0.0,1,3,105,195,134,361,200,511,53,235,3,9,0,0,0.0,0.0,0.0,3.5,4.5,1844
