story_id_code,collection
1451,i_Wings_of_Words
1451,i_Animal
302,i_Family/Friends
302,i_Funny
302,i_Adventure
272,i_Adventure
272,i_Family/Friends
1384,i_Animal
903,i_Animal
1127,i_Adventure
1127,i_Family/Friends
406,i_Adventure
406,i_Family/Friends
170,i_Family/Friends
170,i_Animal
1763,i_Science
1763,i_Family/Friends
538,i_Animal
1873,i_Life_skills
1873,i_Animal
1142,i_Nature
1142,i_Wings_of_Words
1526,i_Wings_of_Words
194,i_Wings_of_Words
194,i_Family/Friends
647,i_Wings_of_Words
1594,i_Wings_of_Words
1594,i_Family/Friends
774,i_Wings_of_Words
774,i_Family/Friends
882,i_Wings_of_Words
882,i_Family/Friends
698,i_Wings_of_Words
698,i_Animal
1966,i_Wings_of_Words
1966,i_Family/Friends
835,i_Life_skills
835,i_Wings_of_Words
60,i_Funny
60,i_Wings_of_Words
335,i_Nature
335,i_Wings_of_Words
1914,i_Life_skills
1914,i_Wings_of_Words
527,i_Nature
527,i_Wings_of_Words
1933,i_Wings_of_Words
398,i_Culture/History
398,i_Wings_of_Words
1294,i_Animal
1924,i_Funny
377,i_Family/Friends
1768,i_Life_skills
709,i_Adventure
709,i_Family/Friends
1343,i_Wings_of_Words
63,i_Wings_of_Words
352,i_Wings_of_Words
641,i_Wings_of_Words
1029,i_Wings_of_Words
1975,i_Wings_of_Words
849,i_Wings_of_Words
1520,i_Wings_of_Words
1520,i_Poetry
574,i_Wings_of_Words
1201,i_Wings_of_Words
937,i_Wings_of_Words
937,i_Family/Friends
1382,i_Adventure
1382,i_Animal
326,i_Wings_of_Words
1600,i_Wings_of_Words
24,i_Wings_of_Words
753,i_Adventure
753,i_Wings_of_Words
1200,i_Wings_of_Words
1422,i_Wings_of_Words
370,i_Wings_of_Words
1518,i_Adventure
1518,i_Nature
1488,i_Adventure
1488,i_Family/Friends
1486,i_Nature
1599,i_Animal
89,i_Sports_&_Games
1300,i_Culture/History
1300,i_Family/Friends
486,i_Adventure
486,i_Culture/History
62,i_Adventure
62,i_Culture/History
1890,i_Adventure
1890,i_Culture/History
1310,i_Adventure
1310,i_Culture/History
146,i_Wings_of_Words
729,i_Adventure
729,i_Animal
1976,i_Family/Friends
1976,i_Animal
196,i_Adventure
196,i_Funny
1770,i_Family/Friends
1770,i_Animal
1495,i_Adventure
1495,i_Animal
1717,i_Adventure
1717,i_Family/Friends
149,i_Adventure
149,i_Family/Friends
990,i_Animal
609,i_Life_skills
609,i_Family/Friends
40,i_Life_skills
40,i_Family/Friends
353,i_Life_skills
58,i_Adventure
58,i_Funny
307,i_Funny
307,i_Animal
72,i_Funny
72,i_Animal
99,i_Life_skills
267,i_Life_skills
267,i_Sports_&_Games
855,i_Adventure
1043,i_Funny
1043,i_Family/Friends
145,i_Nature
1009,i_Funny
1009,i_Animal
1304,i_Science
1827,i_Video
1827,i_Animal
190,i_Life_skills
190,i_Video
1945,i_Life_skills
