"user_index","child_id","item_rank","story_id"
58,10908,8,"194"
58,10908,9,"205"
58,10908,10,"210"
59,10949,1,"24"
59,10949,2,"34"
59,10949,3,"60"
59,10949,4,"63"
59,10949,5,"77"
59,10949,6,"95"
59,10949,7,"96"
59,10949,8,"146"
59,10949,9,"151"
59,10949,10,"170"
60,10969,1,"24"
60,10969,2,"34"
60,10969,3,"60"
60,10969,4,"63"
60,10969,5,"77"
60,10969,6,"95"
60,10969,7,"96"
60,10969,8,"146"
60,10969,9,"151"
60,10969,10,"194"
61,11258,1,"24"
61,11258,2,"34"
61,11258,3,"60"
61,11258,4,"63"
61,11258,5,"77"
61,11258,6,"95"
61,11258,7,"96"
61,11258,8,"146"
61,11258,9,"151"
61,11258,10,"170"
62,11368,1,"24"
62,11368,2,"34"
62,11368,3,"60"
62,11368,4,"63"
62,11368,5,"77"
62,11368,6,"95"
62,11368,7,"96"
62,11368,8,"146"
62,11368,9,"170"
62,11368,10,"194"
63,11939,1,"24"
63,11939,2,"60"
63,11939,3,"63"
63,11939,4,"77"
63,11939,5,"96"
63,11939,6,"146"
63,11939,7,"194"
63,11939,8,"196"
63,11939,9,"205"
63,11939,10,"229"
64,12264,1,"24"
64,12264,2,"34"
64,12264,3,"60"
64,12264,4,"63"
64,12264,5,"77"
64,12264,6,"95"
64,12264,7,"96"
64,12264,8,"146"
64,12264,9,"151"
64,12264,10,"194"
65,12316,1,"0"
65,12316,2,"4"
65,12316,3,"9"
65,12316,4,"14"
65,12316,5,"17"
65,12316,6,"41"
65,12316,7,"68"
65,12316,8,"75"
65,12316,9,"82"
65,12316,10,"142"
66,12681,1,"24"
66,12681,2,"34"
66,12681,3,"60"
66,12681,4,"63"
66,12681,5,"77"
66,12681,6,"95"
66,12681,7,"96"
66,12681,8,"146"
66,12681,9,"151"
66,12681,10,"170"
67,12744,1,"24"
67,12744,2,"34"
67,12744,3,"60"
67,12744,4,"63"
67,12744,5,"77"
67,12744,6,"95"
67,12744,7,"96"
67,12744,8,"146"
67,12744,9,"151"
67,12744,10,"170"
68,13234,1,"24"
68,13234,2,"34"
68,13234,3,"60"
68,13234,4,"63"
68,13234,5,"77"
68,13234,6,"96"
68,13234,7,"146"
68,13234,8,"151"
68,13234,9,"194"
68,13234,10,"196"
69,13303,1,"24"
69,13303,2,"34"
69,13303,3,"60"
69,13303,4,"63"
69,13303,5,"77"
69,13303,6,"95"
69,13303,7,"96"
69,13303,8,"146"
69,13303,9,"151"
69,13303,10,"194"
70,13400,1,"24"
70,13400,2,"34"
70,13400,3,"60"
70,13400,4,"63"
70,13400,5,"77"
70,13400,6,"95"
70,13400,7,"96"
70,13400,8,"146"
70,13400,9,"151"
70,13400,10,"170"
71,13597,1,"24"
71,13597,2,"34"
71,13597,3,"60"
71,13597,4,"63"
71,13597,5,"77"
71,13597,6,"95"
71,13597,7,"96"
71,13597,8,"146"
71,13597,9,"151"
71,13597,10,"170"
72,13715,1,"24"
72,13715,2,"34"
72,13715,3,"60"
72,13715,4,"63"
72,13715,5,"77"
72,13715,6,"95"
72,13715,7,"96"
72,13715,8,"146"
72,13715,9,"151"
72,13715,10,"170"
73,14184,1,"24"
73,14184,2,"34"
73,14184,3,"60"
73,14184,4,"63"
73,14184,5,"77"
73,14184,6,"96"
73,14184,7,"146"
73,14184,8,"151"
73,14184,9,"170"
73,14184,10,"194"
74,14235,1,"24"
74,14235,2,"34"
74,14235,3,"60"
74,14235,4,"63"
74,14235,5,"77"
74,14235,6,"95"
74,14235,7,"96"
